status,year,authors,title,subfield,journal_canonical,journal_tier,in_paper,paper_filename,in_zotero,zotero_key,zotero_collection,norm_key
in_both,2023,"Burke, Hoitash, Hoitash, Xiao",The Disclosure and Consequences of U.S. Critical Audit Matters,audit,The Accounting Review,top_acct,True,"2023 - Burke, Hoitash, Hoitash, Xiao - The Accounting Review - The Disclosure and Consequences of U.S. Critical Audit Matters.pdf",True,WUDF3JGP,audit_write_stage1_candidates,2023::the disclosure and consequences of u s critical audit matters
in_both,2023,"Condie, Lisic, Seidel, Truelson, Zimmerman",Does Gender and Ethnic Diversity Among Audit Partners Influence Office‐Level Audit Personnel Retenti,audit,Contemporary Accounting Research,top_acct,True,"2023 - Condie, Lisic, Seidel, Truelson, Zimmerman - Contemporary Accounting Research - Does Gender and Ethnic Diversity Among Audit Partners Influence Office‐Level Audit Personnel Retenti.pdf",True,D2MBNGQD,audit_write_stage1_candidates,2023::does gender and ethnic diversity among audit partners influence office level audit personnel retenti
in_both,2023,"Ege, Kim, Wang",The Demand for Internal Auditors following Accounting and Operational Failures,audit,The Accounting Review,top_acct,True,"2023 - Ege, Kim, Wang - The Accounting Review - The Demand for Internal Auditors following Accounting and Operational Failures.pdf",True,JHR2RJZH,audit_write_stage1_candidates,2023::the demand for internal auditors following accounting and operational failures
in_both,2023,"Eulerich, Masli, Pickerd, Wood",The Impact of Audit Technology on Audit Task Outcomes Evidence for Technology‐Based Audit Technique,audit,Contemporary Accounting Research,top_acct,True,"2023 - Eulerich, Masli, Pickerd, Wood - Contemporary Accounting Research - The Impact of Audit Technology on Audit Task Outcomes Evidence for Technology‐Based Audit Technique.pdf",True,3Q9F8I6M,audit_write_stage1_candidates,2023::the impact of audit technology on audit task outcomes evidence for technology based audit technique
in_both,2023,"Pan, Shroff, Zhang",The Dark Side of Audit Market Competition,audit,Journal of Accounting and Economics,top_acct,True,"2023 - Pan, Shroff, Zhang - Journal of Accounting and Economics - The Dark Side of Audit Market Competition.pdf",True,P53AGTSQ,audit_write_stage1_candidates,2023::the dark side of audit market competition
in_both,2023,"Zimmerman, Barr‐Pulliam, Lee, Minutti‐Meza",Auditors’ Use of In‐House Specialists,audit,Journal of Accounting Research,top_acct,True,"2023 - Zimmerman, Barr‐Pulliam, Lee, Minutti‐Meza - Journal of Accounting Research - Auditors’ Use of In‐House Specialists.pdf",True,9NUD3B7V,audit_write_stage1_candidates,2023::auditors use of in house specialists
in_both,2022,"Baker, Larcker, Wang",How Much Should We Trust Staggered Difference-in-Differences Estimates,unknown,Journal of Financial Economics,top_fin,True,"2022 - Baker, Larcker, Wang - Journal of Financial Economics - How Much Should We Trust Staggered Difference-in-Differences Estimates.pdf",True,U82NTPG9,integrity_propaganda_audit+english,2022::how much should we trust staggered difference in differences estimates
in_both,2022,"Chen, Huang, Li, Pittman",It's a Small World The Importance of Social Connections with Auditors to Mutual Fund Managers’ Port,audit,Journal of Accounting Research,top_acct,True,"2022 - Chen, Huang, Li, Pittman - Journal of Accounting Research - It's a Small World The Importance of Social Connections with Auditors to Mutual Fund Managers’ Port.pdf",True,C9UZZ292,audit_write_stage1_candidates,2022::it s a small world the importance of social connections with auditors to mutual fund managers port
in_both,2022,"Cowle, Rowe",Don't Make Me Look Bad How the Audit Market Penalizes Auditors for Doing Their Job,audit,The Accounting Review,top_acct,True,"2022 - Cowle, Rowe - The Accounting Review - Don't Make Me Look Bad How the Audit Market Penalizes Auditors for Doing Their Job.pdf",True,TQZNTJ4B,audit_write_stage1_candidates,2022::don t make me look bad how the audit market penalizes auditors for doing their job
in_both,2022,Duguay,The Economic Consequences of Financial Audit Regulation in the Charitable Sector,audit,Journal of Accounting Research,top_acct,True,2022 - Duguay - Journal of Accounting Research - The Economic Consequences of Financial Audit Regulation in the Charitable Sector.pdf,True,52Q6FB5D,audit_write_stage1_candidates,2022::the economic consequences of financial audit regulation in the charitable sector
in_both,2022,"Egan, Matvos, Seru",When Harry Fired Sally The Double Standard in Punishing Misconduct,fraud_enforcement,Journal of Political Economy,top_gen,True,"2022 - Egan, Matvos, Seru - Journal of Political Economy - When Harry Fired Sally The Double Standard in Punishing Misconduct.pdf",True,GKNHXRS4,integrity_propaganda_audit,2022::when harry fired sally the double standard in punishing misconduct
in_both,2022,"Ege, Seidel, Sterin, Wood",The Influence of Management's Internal Audit Experience on Earnings Management,audit,Contemporary Accounting Research,top_acct,True,"2022 - Ege, Seidel, Sterin, Wood - Contemporary Accounting Research - The Influence of Management's Internal Audit Experience on Earnings Management.pdf",True,Q5KFQ35C,audit_write_stage1_candidates,2022::the influence of management s internal audit experience on earnings management
in_both,2022,"Eulerich, Pawlowski, Waddoups, Wood",A Framework for Using Robotic Process Automation for Audit Tasks,audit,Contemporary Accounting Research,top_acct,True,"2022 - Eulerich, Pawlowski, Waddoups, Wood - Contemporary Accounting Research - A Framework for Using Robotic Process Automation for Audit Tasks.pdf",True,C6ZAIBB5,audit_write_stage1_candidates,2022::a framework for using robotic process automation for audit tasks
in_both,2022,"Fedyk, Hodson, Khimich, Fedyk",Is Artificial Intelligence Improving the Audit Process,audit,Review of Accounting Studies,top_acct,True,"2022 - Fedyk, Hodson, Khimich, Fedyk - Review of Accounting Studies - Is Artificial Intelligence Improving the Audit Process.pdf",True,ZIGM6X44,english,2022::is artificial intelligence improving the audit process
in_both,2022,"Fox, Wilson",Double Trouble Irs’s Attention to Financial Accounting Restatements,audit,Review of Accounting Studies,top_acct,True,"2022 - Fox, Wilson - Review of Accounting Studies - Double Trouble Irs’s Attention to Financial Accounting Restatements.pdf",True,XNQN8TUX,audit_write_stage1_candidates,2022::double trouble irs s attention to financial accounting restatements
in_both,2022,"Hanlon, Shroff","Insights into Auditor Public Oversight Boards Whether, How, and Why They “Work”",audit,Journal of Accounting and Economics,top_acct,True,"2022 - Hanlon, Shroff - Journal of Accounting and Economics - Insights into Auditor Public Oversight Boards Whether, How, and Why They “Work”.pdf",True,K6SHC7CI,audit_write_stage1_candidates,2022::insights into auditor public oversight boards whether how and why they work
in_both,2022,"Hanlon, Yeung, Zuo",Behavioral Economics of Accounting A Review of Archival Research on Individual Decision Makers,unknown,Contemporary Accounting Research,top_acct,True,"2022 - Hanlon, Yeung, Zuo - Contemporary Accounting Research - Behavioral Economics of Accounting A Review of Archival Research on Individual Decision Makers.pdf",True,CRFLDEBH,integrity_propaganda_audit+english,2022::behavioral economics of accounting a review of archival research on individual decision makers
in_both,2022,"Hendricks, Landsman, Peña-Romera",The Revolving Door between Large Audit Firms and the PCAOB Implications for Future Inspection Repor,audit,The Accounting Review,top_acct,True,"2022 - Hendricks, Landsman, Peña-Romera - The Accounting Review - The Revolving Door between Large Audit Firms and the PCAOB Implications for Future Inspection Repor.pdf",True,F89FNJJ6,audit_write_stage1_candidates,2022::the revolving door between large audit firms and the pcaob implications for future inspection repor
in_both,2022,"Lee, Naiker, Stewart",Audit Office Labor Market Proximity and Audit Quality,audit,The Accounting Review,top_acct,True,"2022 - Lee, Naiker, Stewart - The Accounting Review - Audit Office Labor Market Proximity and Audit Quality.pdf",True,KKBJGF68,audit_write_stage1_candidates,2022::audit office labor market proximity and audit quality
in_both,2022,"Lennox, Wu",A Review of China-Related Accounting Research in the Past 25 Years,intl_china,Journal of Accounting and Economics,top_acct,True,"2022 - Lennox, Wu - Journal of Accounting and Economics - A Review of China-Related Accounting Research in the Past 25 Years.pdf",True,EZW7DXS9,integrity_propaganda_audit+english,2022::a review of china related accounting research in the past 25 years
in_both,2022,"Ranasinghe, Yi, Zhou",Do Auditors Charge a Client Business Risk Premium Evidence from Audit Fees and Derivative Hedging i,audit,Review of Accounting Studies,top_acct,True,"2022 - Ranasinghe, Yi, Zhou - Review of Accounting Studies - Do Auditors Charge a Client Business Risk Premium Evidence from Audit Fees and Derivative Hedging i.pdf",True,2KB97GMQ,audit_write_stage1_candidates,2022::do auditors charge a client business risk premium evidence from audit fees and derivative hedging i
in_both,2021,"Austin, Carpenter, Christ, Nielson","The Data Analytics Journey Interactions Among Auditors, Managers, Regulation, and Technology",audit,Contemporary Accounting Research,top_acct,True,"2021 - Austin, Carpenter, Christ, Nielson - Contemporary Accounting Research - The Data Analytics Journey Interactions Among Auditors, Managers, Regulation, and Technology.pdf",True,464VBDTC,audit_write_stage1_candidates,2021::the data analytics journey interactions among auditors managers regulation and technology
in_both,2021,"Chapman, Drake, Schroeder, Seidel",Earnings Announcement Delays and Implications for the Auditor-Client Relationship,audit,Review of Accounting Studies,top_acct,True,"2021 - Chapman, Drake, Schroeder, Seidel - Review of Accounting Studies - Earnings Announcement Delays and Implications for the Auditor-Client Relationship.pdf",True,QEMHRN98,audit_write_stage1_candidates,2021::earnings announcement delays and implications for the auditor client relationship
in_both,2021,Goodman-Bacon,Difference-in-Differences with Variation in Treatment Timing,unknown,unknown,unknown,True,2021 - Goodman-Bacon - Journal of Econometrics - Difference-in-Differences with Variation in Treatment Timing.pdf,True,CQA2334K,english,2021::difference in differences with variation in treatment timing
in_both,2021,"Knechel, Mao, Qi, Zhuang",Is There a Brain Drain in Auditing The Determinants and Consequences of Auditors Leaving Public Acc,audit,Contemporary Accounting Research,top_acct,True,"2021 - Knechel, Mao, Qi, Zhuang - Contemporary Accounting Research - Is There a Brain Drain in Auditing The Determinants and Consequences of Auditors Leaving Public Acc.pdf",True,T7NBAZWQ,audit_write_stage1_candidates,2021::is there a brain drain in auditing the determinants and consequences of auditors leaving public acc
in_both,2020,"Chen, Feng, Li",Family entrenchment and internal control evidence from S&P 1500 firms,audit,Review of Accounting Studies,top_acct,True,"2020 - Chen, Feng, Li - Review of Accounting Studies - Family entrenchment and internal control evidence from S&P 1500 firms.pdf",True,H59WGZ2P,audit_write_stage1_candidates,2020::family entrenchment and internal control evidence from s p 1500 firms
in_both,2020,"Cook, Kowaleski, Minnis, Sutherland, Zehms",Auditors Are Known by the Companies They Keep,audit,Journal of Accounting and Economics,top_acct,True,"2020 - Cook, Kowaleski, Minnis, Sutherland, Zehms - Journal of Accounting and Economics - Auditors Are Known by the Companies They Keep.pdf",True,EGHMKWNS,audit_write_stage1_candidates,2020::auditors are known by the companies they keep
in_both,2020,Shroff,Real Effects of PCAOB International Inspections,audit,The Accounting Review,top_acct,True,2020 - Shroff - The Accounting Review - Real Effects of PCAOB International Inspections.pdf,True,4PUT5SAS,audit_write_stage1_candidates,2020::real effects of pcaob international inspections
in_both,2020,"Wu, Ye",Public Attention and Auditor Behavior The Case of Hurun Rich List in China,audit,Journal of Accounting Research,top_acct,True,"2020 - Wu, Ye - Journal of Accounting Research - Public Attention and Auditor Behavior The Case of Hurun Rich List in China.pdf",True,NUR4DT5K,audit_write_stage1_candidates,2020::public attention and auditor behavior the case of hurun rich list in china
in_both,2019,Aobdia,Do Practitioner Assessments Agree with Academic Proxies for Audit Quality Evidence from PCAOB and I,audit,Journal of Accounting and Economics,top_acct,True,2019 - Aobdia - Journal of Accounting and Economics - Do Practitioner Assessments Agree with Academic Proxies for Audit Quality Evidence from PCAOB and I.pdf,True,S9NZRZP9,integrity_propaganda_audit,2019::do practitioner assessments agree with academic proxies for audit quality evidence from pcaob and i
in_both,2019,"Beck, Gunn, Hallman",The Geographic Decentralization of Audit Firms and Audit Quality,audit,Journal of Accounting and Economics,top_acct,True,"2019 - Beck, Gunn, Hallman - Journal of Accounting and Economics - The Geographic Decentralization of Audit Firms and Audit Quality.pdf",True,22KQFQQD,audit_write_stage1_candidates,2019::the geographic decentralization of audit firms and audit quality
in_both,2019,"Drake, Lamoreaux, Quinn, Thornock",Auditor Benchmarking of Client Disclosures,audit,Review of Accounting Studies,top_acct,True,"2019 - Drake, Lamoreaux, Quinn, Thornock - Review of Accounting Studies - Auditor Benchmarking of Client Disclosures.pdf",True,GB7K5SH8,audit_write_stage1_candidates,2019::auditor benchmarking of client disclosures
in_both,2019,"Egan, Matvos, Seru",The Market for Financial Adviser Misconduct,fraud_enforcement,Journal of Political Economy,top_gen,True,"2019 - Egan, Matvos, Seru - Journal of Political Economy - The Market for Financial Adviser Misconduct.pdf",True,3UMWMYXC,integrity_propaganda_audit,2019::the market for financial adviser misconduct
in_both,2019,"Jiang, Wang, Wang",Big N Auditors and Audit Quality New Evidence from Quasi-Experiments,audit,The Accounting Review,top_acct,True,"2019 - Jiang, Wang, Wang - The Accounting Review - Big N Auditors and Audit Quality New Evidence from Quasi-Experiments.pdf",True,2V99W7IH,audit_write_stage1_candidates,2019::big n auditors and audit quality new evidence from quasi experiments
in_both,2018,"He, Kothari, Xiao, Zuo",Long-Term Impact of Economic Conditions on Auditors' Judgment,audit,The Accounting Review,top_acct,True,"2018 - He, Kothari, Xiao, Zuo - The Accounting Review - Long-Term Impact of Economic Conditions on Auditors' Judgment.pdf",True,VKG3QMBA,audit_write_stage1_candidates,2018::long term impact of economic conditions on auditors judgment
in_both,2018,"Parsons, Sulaeman, Titman",The Geography of Financial Misconduct,fraud_enforcement,The Journal of Finance,top_fin,True,"2018 - Parsons, Sulaeman, Titman - The Journal of Finance - The Geography of Financial Misconduct.pdf",True,8C3HWGKH,integrity_propaganda_audit+english,2018::the geography of financial misconduct
in_both,2018,"Qin, Strömberg, Wu",Media Bias in China,intl_china,American Economic Review,top_gen,True,"2018 - Qin, Strömberg, Wu - American Economic Review - Media Bias in China.pdf",True,82FR8SSP,integrity_propaganda_audit,2018::media bias in china
in_both,2017,"Chi, Myers, Omer, Xie",The Effects of Audit Partner Pre-Client and Client-Specific Experience on Audit Quality and on Perce,audit,Review of Accounting Studies,top_acct,True,"2017 - Chi, Myers, Omer, Xie - Review of Accounting Studies - The Effects of Audit Partner Pre-Client and Client-Specific Experience on Audit Quality and on Perce.pdf",True,ZRVU4QUW,audit_write_stage1_candidates,2017::the effects of audit partner pre client and client specific experience on audit quality and on perce
in_both,2017,"Christensen, Floyd, Liu, Maffett",The Real Effects of Mandated Information on Social Responsibility in Financial Reports Evidence fro,unknown,unknown,unknown,True,"2017 - Christensen, Floyd, Liu, Maffett - The Real Effects of Mandated Information on Social Responsibility in Financial Reports Evidence fro.pdf",True,GZ3J2I7W,english,2017::the real effects of mandated information on social responsibility in financial reports evidence fro
in_both,2016,"Cai, Kim, Park, White",Common auditors in M&A transactions,audit,Journal of Accounting and Economics,top_acct,True,"2016 - Cai, Kim, Park, White - Journal of Accounting and Economics - Common auditors in M&A transactions.pdf",True,WM5GZ5VA,audit_write_stage1_candidates,2016::common auditors in m a transactions
in_both,2016,"Dhaliwal, Lamoreaux, Litov, Neyland",Shared Auditors in Mergers and Acquisitions,audit,Journal of Accounting and Economics,top_acct,True,"2016 - Dhaliwal, Lamoreaux, Litov, Neyland - Journal of Accounting and Economics - Shared Auditors in Mergers and Acquisitions.pdf",True,DJCI559V,audit_write_stage1_candidates,2016::shared auditors in mergers and acquisitions
in_both,2016,"Guan, Su, Wu, Yang",Do School Ties Between Auditors and Client Executives Influence Audit Outcomes,audit,Journal of Accounting and Economics,top_acct,True,"2016 - Guan, Su, Wu, Yang - Journal of Accounting and Economics - Do School Ties Between Auditors and Client Executives Influence Audit Outcomes.pdf",True,RPA84QSZ,integrity_propaganda_audit,2016::do school ties between auditors and client executives influence audit outcomes
in_both,2016,"Kausar, Shroff, White",Real Effects of the Audit Choice,audit,Journal of Accounting and Economics,top_acct,True,"2016 - Kausar, Shroff, White - Journal of Accounting and Economics - Real Effects of the Audit Choice.pdf",True,KQZGE287,audit_write_stage1_candidates,2016::real effects of the audit choice
in_both,2016,"Newton, Persellin, Wang, Wilkins",Internal Control Opinion Shopping and Audit Market Competition,audit,The Accounting Review,top_acct,True,"2016 - Newton, Persellin, Wang, Wilkins - The Accounting Review - Internal Control Opinion Shopping and Audit Market Competition.pdf",True,QA8A7M78,audit_write_stage1_candidates,2016::internal control opinion shopping and audit market competition
in_both,2016,"Schroeder, Shepardson",Do SOX 404 Control Audits and Management Assessments Improve Overall Internal Control System Quality,audit,The Accounting Review,top_acct,True,"2016 - Schroeder, Shepardson - The Accounting Review - Do SOX 404 Control Audits and Management Assessments Improve Overall Internal Control System Quality.pdf",True,SQMGA2ZI,audit_write_stage1_candidates,2016::do sox 404 control audits and management assessments improve overall internal control system quality
in_both,2016,"Su, Wu",Client Following Former Audit Partners and Audit Quality Evidence from Unforced Audit Firm Changes,audit,unknown,unknown,True,"2016 - Su, Wu - The International Journal of Accounting - Client Following Former Audit Partners and Audit Quality Evidence from Unforced Audit Firm Changes.pdf",True,97ELHF8Y,integrity_propaganda_audit,2016::client following former audit partners and audit quality evidence from unforced audit firm changes
in_both,2015,"Aobdia, Lin, Petacchi",Capital Market Consequences of Audit Partner Quality,audit,The Accounting Review,top_acct,True,"2015 - Aobdia, Lin, Petacchi - The Accounting Review - Capital Market Consequences of Audit Partner Quality.pdf",True,E6ECXKWB,audit_write_stage1_candidates,2015::capital market consequences of audit partner quality
in_both,2015,"Jayaraman, Milbourn",CEO Equity Incentives and Financial Misreporting The Role of Auditor Expertise,audit,The Accounting Review,top_acct,True,"2015 - Jayaraman, Milbourn - The Accounting Review - CEO Equity Incentives and Financial Misreporting The Role of Auditor Expertise.pdf",True,FGZZT2X5,audit_write_stage1_candidates,2015::ceo equity incentives and financial misreporting the role of auditor expertise
in_both,2015,"Rice, Weber, Wu",Does SOX 404 have teeth Consequences of the failure to report existing internal control weaknesses,audit,The Accounting Review,top_acct,True,"2015 - Rice, Weber, Wu - The Accounting Review - Does SOX 404 have teeth Consequences of the failure to report existing internal control weaknesses.pdf",True,NSXASMNR,audit_write_stage1_candidates,2015::does sox 404 have teeth consequences of the failure to report existing internal control weaknesses
in_both,2015,"Robert Knechel, Vanstraelen, Zerni",Does the Identity of Engagement Partners Matter An Analysis of Audit Partner Reporting Decisions,audit,Contemporary Accounting Research,top_acct,True,"2015 - Robert Knechel, Vanstraelen, Zerni - Contemporary Accounting Research - Does the Identity of Engagement Partners Matter An Analysis of Audit Partner Reporting Decisions.pdf",True,GDVU7CCJ,audit_write_stage1_candidates,2015::does the identity of engagement partners matter an analysis of audit partner reporting decisions
in_both,2014,"Badolato, Donelson, Ege",Audit Committee Financial Expertise and Earnings Management The Role of Status,audit,Journal of Accounting and Economics,top_acct,True,"2014 - Badolato, Donelson, Ege - Journal of Accounting and Economics - Audit Committee Financial Expertise and Earnings Management The Role of Status.pdf",True,77D6KF9E,audit_write_stage1_candidates,2014::audit committee financial expertise and earnings management the role of status
in_both,2014,"Campbell, Chen, Dhaliwal, Lu, Steele",The Information Content of Mandatory Risk Factor Disclosures in Corporate Filings,disclosure,Review of Accounting Studies,top_acct,True,"2014 - Campbell, Chen, Dhaliwal, Lu, Steele - Review of Accounting Studies - The Information Content of Mandatory Risk Factor Disclosures in Corporate Filings.pdf",True,5UEG24N5,english,2014::the information content of mandatory risk factor disclosures in corporate filings
in_both,2014,"Chakravarthy, deHaan, Rajgopal",Reputation Repair After a Serious Restatement,audit,The Accounting Review,top_acct,True,"2014 - Chakravarthy, deHaan, Rajgopal - The Accounting Review - Reputation Repair After a Serious Restatement.pdf",True,94D5E65Q,audit_write_stage1_candidates,2014::reputation repair after a serious restatement
in_both,2014,"DeFond, Zhang",A Review of Archival Auditing Research,audit,Journal of Accounting and Economics,top_acct,True,"2014 - DeFond, Zhang - Journal of Accounting and Economics - A Review of Archival Auditing Research.pdf",True,NA9PFM2K,integrity_propaganda_audit+english,2014::a review of archival auditing research
in_both,2014,"Francis, Pinnuck, Watanabe",Auditor style and financial statement comparability,audit,The Accounting Review,top_acct,True,"2014 - Francis, Pinnuck, Watanabe - The Accounting Review - Auditor style and financial statement comparability.pdf",True,I6I4V6GP,audit_write_stage1_candidates,2014::auditor style and financial statement comparability
in_both,2014,"Goodwin, Wu",Is the Effect of Industry Expertise on Audit Pricing an Office-Level or a Partner-Level Phenomenon,audit,Review of Accounting Studies,top_acct,True,"2014 - Goodwin, Wu - Review of Accounting Studies - Is the Effect of Industry Expertise on Audit Pricing an Office-Level or a Partner-Level Phenomenon.pdf",True,A23CREC5,audit_write_stage1_candidates,2014::is the effect of industry expertise on audit pricing an office level or a partner level phenomenon
in_both,2014,"Hennes, Leone, Miller",Determinants and Market Consequences of Auditor Dismissals After Accounting Restatements,audit,The Accounting Review,top_acct,True,"2014 - Hennes, Leone, Miller - The Accounting Review - Determinants and Market Consequences of Auditor Dismissals After Accounting Restatements.pdf",True,NPMDYVNM,integrity_propaganda_audit,2014::determinants and market consequences of auditor dismissals after accounting restatements
in_both,2014,"Lennox, Li",Accounting Misstatements Following Lawsuits Against Auditors,audit,Journal of Accounting and Economics,top_acct,True,"2014 - Lennox, Li - Journal of Accounting and Economics - Accounting Misstatements Following Lawsuits Against Auditors.pdf",True,HGVUN3J7,audit_write_stage1_candidates,2014::accounting misstatements following lawsuits against auditors
in_both,2014,"Lennox, Wu, Zhang",Does mandatory rotation of audit partners improve audit quality,audit,The Accounting Review,top_acct,True,"2014 - Lennox, Wu, Zhang - The Accounting Review - Does mandatory rotation of audit partners improve audit quality.pdf",True,8B9FVPS8,integrity_propaganda_audit+english,2014::does mandatory rotation of audit partners improve audit quality
in_both,2013,"Libby, Brown",Financial Statement Disaggregation Decisions and Auditors' Tolerance for Misstatement,audit,The Accounting Review,top_acct,True,"2013 - Libby, Brown - The Accounting Review - Financial Statement Disaggregation Decisions and Auditors' Tolerance for Misstatement.pdf",True,5EF6N2BC,audit_write_stage1_candidates,2013::financial statement disaggregation decisions and auditors tolerance for misstatement
in_both,2013,"Lobo, Zhao",Relation between audit effort and financial report misstatements Evidence from quarterly and annual,audit,The Accounting Review,top_acct,True,"2013 - Lobo, Zhao - The Accounting Review - Relation between audit effort and financial report misstatements Evidence from quarterly and annual.pdf",True,5SAZFTZW,audit_write_stage1_candidates,2013::relation between audit effort and financial report misstatements evidence from quarterly and annual
in_both,2013,"Markelevich, Rosner",Auditor Fees and Fraud Firms,audit,Contemporary Accounting Research,top_acct,True,"2013 - Markelevich, Rosner - Contemporary Accounting Research - Auditor Fees and Fraud Firms.pdf",True,UDSN5NGD,audit_write_stage1_candidates,2013::auditor fees and fraud firms
in_both,2013,Minutti-Meza,Does Auditor Industry Specialization Improve Audit Quality Does Auditor Industry Specialization Im,audit,Journal of Accounting Research,top_acct,True,2013 - Minutti-Meza - Journal of Accounting Research - Does Auditor Industry Specialization Improve Audit Quality Does Auditor Industry Specialization Im.pdf,True,77AJUPU2,audit_write_stage1_candidates,2013::does auditor industry specialization improve audit quality does auditor industry specialization im
paper_only,2026,"Arif, Golshan",The Value of Values Does Focusing on Sustainability Provide a Competitive Advantage in Forecasting,analysts,Contemporary Accounting Research,top_acct,True,"2026 - Arif, Golshan - Contemporary Accting Res - The Value of Values Does Focusing on Sustainability Provide a Competitive Advantage in Forecasting.pdf",False,,,2026::the value of values does focusing on sustainability provide a competitive advantage in forecasting
paper_only,2026,"Ash, Chen, Naidu",Ideas Have Consequences The Impact of Law and Economics on American Justice,regulation_law,unknown,unknown,True,"2026 - Ash, Chen, Naidu - Ideas Have Consequences The Impact of Law and Economics on American Justice.pdf",False,,,2026::ideas have consequences the impact of law and economics on american justice
